SUBNO	HOME	NUMSIB	CRIMPAR	CRIMSIB	MENTILL	PSYCHIAT	BCARE	SIBCARE	PRECAP1	PRECAP2	CT1AGE	CTLAG	NUMAPP	HISTABSC	IQ	HT	WT	READAGE	SES	ADMITCON	ENTAGE	HOUSE	TOTLV	DAYSLV	TOTABSC	SCHOFF	REL1LAG	RELLAST	RELCON	NUMREL	AFCARE	SCHTIME	SCHCUST	RECALL	RECON2	CTAPP2	OFFLAG2	CUST2	SER1ST	SERALL
1	4	6	2	1	2	1	1	1	4	4	13	1	0	1	107	67	107	103	7	1	172	1	5	46	1	0	13	13	1	1	2	13	2	2	1	97	97	7	97	97
2	1	3	1	2	2	1	2	2	4	4	13	3	0	2	81	61	94	134	3	1	183	1	7	53	0	0	20	20	1	1	1	20	2	2	2	1	19	2	3.2	3.2
3	1	10	2	1	2	1	2	1	2	3	12	3	0	1	112	67	107	105	6	2	175	3	2	11	5	0	8	8	3	1	8	8	2	2	2	98	98	8	98	98
4	1	9	2	1	2	4	2	2	6	5	11	2	1	1	96	65	137	115	4	1	182	1	5	36	0	0	12	12	1	1	2	12	2	2	2	2	3	1	1.6	3.8
5	1	8	1	1	2	4	2	2	4	4	11	6	0	2	114	63	106	136	7	1	181	1	3	29	0	0	15	15	1	1	1	15	2	2	2	1	2	2	2.6	2.6
6	2	7	2	2	2	1	2	2	4	0	8	2	1	1	146	64	104	146	3	9	169	3	3	27	13	0	8	25	1	2	2	10	2	1	2	3	19	2	3.2	6.2
7	2	0	2	8	2	3	2	8	2	2	13	5	0	1	102	62	96	140	5	1	167	2	8	60	1	0	21	21	1	1	2	21	2	2	1	97	97	7	97	97
8	1	3	1	2	1	2	2	2	4	3	12	3	1	1	88	61	100	102	4	2	178	3	2	100	7	0	5	5	3	1	8	5	2	2	2	98	98	8	98	98
9	1	3	2	1	1	2	2	2	4	4	11	2	0	2	96	63	102	86	5	1	157	1	9	66	0	0	24	24	1	1	1	24	2	2	2	1	20	1	2	2
10	2	9	2	1	1	1	1	1	3	3	12	6	0	1	98	65	114	103	6	1	176	1	7	58	1	1	19	19	1	1	2	19	2	2	2	4	4	1	4.4	12.2
11	1	2	2	1	1	2	2	2	6	5	10	1	2	1	93	70	143	120	3	1	171	2	1	7	0	1	3	3	2	1	8	3	1	2	1	98	98	8	98	98
12	1	9	2	1	2	3	2	2	4	4	10	3	0	2	101	60	97	121	3	1	162	3	3	25	1	0	12	12	1	1	2	12	2	2	2	1	21	1	2	2
13	2	8	2	1	2	2	1	1	6	5	8	2	1	1	100	65	128	124	5	1	173	1	6	49	2	1	19	19	1	1	1	19	2	2	2	1	5	2	3.6	3.6
14	1	3	2	1	2	2	2	2	3	3	13	3	0	2	95	59	94	142	7	1	172	2	7	55	4	0	23	23	1	1	2	23	2	2	2	2	16	1	3	6.6
15	3	3	2	1	1	1	2	2	3	4	12	3	0	2	124	63	110	139	6	1	169	2	7	65	2	1	19	19	1	1	2	19	2	2	2	1	20	1	1.8	1.8
16	2	3	1	2	2	1	1	2	3	3	13	5	0	2	90	63	98	108	3	1	178	1	5	29	0	0	15	15	1	1	1	15	2	2	2	1	17	2	2.6	2.6
17	3	2	2	1	2	3	2	2	2	2	12	24	0	2	107	63	99	137	7	1	165	3	6	47	3	0	17	17	1	1	1	17	2	2	1	97	97	7	97	97
