"","qb10_1","qb10_2","qb10_3","qb10_4","qb10_5","qb10_6","qb10_7","qb10_8","qb10_9","qb10_10","qb10_11","qb10_12","d10","d11","isocntry","d1","d25","d15a","uniqid","at_sexviol"
"1",0,0,0,0,0,0,0,0,0,0,1,0,1,82,"BE",8,1,4,16184372,0
"2",0,0,0,0,0,0,0,0,0,0,0,1,1,69,"BE",6,1,4,16184349,0
"3",1,0,1,0,0,0,0,0,0,0,0,0,2,42,"BE",5,1,13,16184371,2
"4",0,0,0,0,0,0,0,0,0,1,0,0,2,68,"BE",NA,1,4,16178926,0
"5",1,0,1,1,0,1,1,0,0,0,0,0,1,44,"BE",8,2,18,16178922,5
"6",0,0,0,0,0,0,0,0,0,1,0,0,2,61,"BE",4,3,1,16178924,0
"7",0,0,0,0,0,0,0,0,0,1,0,0,1,18,"BE",3,2,2,16178928,0
"8",0,0,0,0,0,0,0,0,0,1,0,0,2,65,"BE",1,3,4,16178932,0
"9",0,0,0,1,0,0,0,1,0,0,0,0,2,55,"BE",5,3,8,16178929,2
"10",0,0,0,0,0,0,0,1,0,0,0,0,1,24,"BE",4,3,2,16178933,1
"11",1,0,1,1,0,1,1,0,0,0,0,0,2,70,"BE",10,3,4,16178937,5
"12",0,0,0,0,0,0,0,0,0,1,0,0,1,21,"BE",6,2,2,16178939,0
"13",0,0,0,0,0,0,0,0,0,1,0,0,1,72,"BE",4,3,4,16178938,0
"14",0,0,0,0,0,0,0,0,0,1,0,0,1,20,"BE",1,3,2,16178919,0
"15",0,0,0,0,0,0,0,0,0,1,0,0,1,44,"BE",5,2,12,16191020,0
"16",0,0,0,0,0,0,0,0,0,1,0,0,1,27,"BE",8,1,13,16193638,0
"17",0,0,0,0,0,0,0,0,0,1,0,0,1,29,"BE",7,1,17,16178227,0
"18",0,0,0,0,0,0,1,0,1,0,0,0,1,56,"BE",5,1,4,16190615,2
"19",0,0,0,0,0,0,0,0,0,1,0,0,1,68,"BE",4,1,4,16178230,0
"20",0,0,0,0,0,0,0,0,0,1,0,0,2,66,"BE",3,1,4,16190764,0
"21",0,1,0,1,0,0,1,0,0,0,0,0,1,52,"BE",5,3,11,16190390,3
"22",0,0,0,0,0,0,0,0,0,1,0,0,2,62,"BE",4,1,13,16178231,0
"23",0,0,0,0,0,0,0,0,0,1,0,0,1,71,"BE",7,1,4,16178233,0
"24",0,0,0,0,0,0,0,0,0,1,0,0,2,71,"BE",3,2,4,16180880,0
"25",0,0,0,0,0,0,0,0,0,1,0,0,1,64,"BE",NA,1,4,16180897,0
"26",0,0,0,0,0,1,0,0,1,0,0,0,1,67,"BE",5,2,4,16179665,2
"27",0,0,0,0,0,0,0,0,0,1,0,0,2,60,"BE",4,3,4,16177088,0
"28",0,0,0,0,0,0,0,0,1,0,0,0,2,69,"BE",1,1,4,16192064,1
"29",0,0,0,0,0,0,0,0,0,1,0,0,1,24,"BE",6,3,12,16177130,0
"30",0,0,0,0,0,0,0,0,0,1,0,0,2,59,"BE",6,2,13,16187932,0
"31",0,0,0,0,0,0,0,0,0,1,0,0,1,41,"BE",4,1,14,16193283,0
"32",0,0,0,0,0,0,0,0,0,0,0,1,1,64,"BE",5,1,4,16193786,0
"33",0,0,0,0,0,0,0,0,0,1,0,0,1,59,"BE",4,2,4,16180894,0
"34",0,0,0,0,0,0,0,0,0,1,0,0,1,86,"BE",7,1,4,16193272,0
"35",0,0,0,0,0,0,0,1,0,0,0,0,2,73,"BE",2,1,4,16177992,1
"36",0,0,0,0,0,0,0,0,0,1,0,0,1,57,"BE",8,1,5,16185714,0
"37",0,1,0,0,0,1,0,0,0,0,0,0,2,75,"BE",7,2,4,16179668,2
"38",0,0,0,0,0,0,0,0,0,1,0,0,2,36,"BE",5,3,14,16177084,0
"39",1,1,1,1,1,1,1,1,1,0,0,0,2,81,"BE",NA,2,4,16192192,9
"40",1,0,0,0,1,0,0,0,0,0,0,0,1,75,"BE",5,1,4,16177125,2
"41",0,1,1,1,0,0,0,0,0,0,0,0,1,55,"BE",8,1,12,16191671,3
"42",0,0,0,0,0,0,0,0,0,1,0,0,2,55,"BE",3,2,3,16177026,0
"43",1,0,0,0,0,0,0,0,0,0,0,0,1,63,"BE",7,1,4,16187928,1
"44",0,0,0,0,0,0,0,0,0,1,0,0,1,90,"BE",6,2,4,16180885,0
"45",1,1,0,0,0,0,0,0,0,0,0,0,2,76,"BE",NA,2,4,16184770,2
"46",0,0,0,0,0,0,0,0,0,1,0,0,2,49,"BE",2,1,4,16177985,0
"47",0,1,0,0,0,0,1,0,0,0,0,0,2,75,"BE",4,2,4,16179676,2
"48",0,0,0,0,0,0,0,0,0,1,0,0,1,64,"BE",5,1,4,16192864,0
"49",0,0,0,0,0,0,0,0,0,1,0,0,2,74,"BE",5,2,4,16180887,0
"50",0,0,0,0,0,0,0,0,0,1,0,0,1,60,"BE",1,1,8,16192764,0
"51",0,0,0,0,0,0,0,0,0,1,0,0,2,34,"BE",5,1,13,16177131,0
"52",0,0,0,0,0,0,0,0,0,1,0,0,2,56,"BE",4,1,15,16178003,0
"53",0,0,0,1,0,0,1,0,0,0,0,0,2,73,"BE",4,3,4,16177085,2
"54",0,0,0,0,0,0,0,0,0,1,0,0,2,29,"BE",7,3,15,16177035,0
"55",0,0,0,0,0,0,0,0,0,1,0,0,2,67,"BE",NA,2,4,16178690,0
"56",0,0,0,0,0,0,0,0,0,1,0,0,1,19,"BE",7,2,2,16177122,0
"57",0,0,0,0,0,0,0,0,0,1,0,0,2,38,"BE",5,1,3,16178002,0
"58",0,0,0,0,0,0,0,0,0,1,0,0,2,52,"BE",5,1,11,16186088,0
"59",0,0,0,0,0,0,0,0,0,1,0,0,1,36,"BE",7,3,11,16177023,0
"60",0,0,0,0,0,0,0,0,0,1,0,0,2,36,"BE",5,1,15,16187916,0
"61",0,0,0,0,0,0,0,0,0,1,0,0,1,77,"BE",5,1,4,16185711,0
"62",1,1,1,1,1,1,1,1,1,0,0,0,2,64,"BE",1,1,4,16191136,9
"63",0,0,0,0,0,0,0,0,0,1,0,0,1,34,"BE",5,1,17,16177947,0
"64",0,0,0,0,0,0,0,0,0,1,0,0,1,28,"BE",1,3,3,16177089,0
"65",0,0,0,0,0,0,0,0,0,1,0,0,2,23,"BE",1,1,2,16191860,0
"66",0,0,0,0,0,0,0,0,0,0,0,1,1,61,"BE",NA,1,8,16184568,0
"67",0,0,0,0,0,0,0,0,0,1,0,0,2,55,"BE",5,1,3,16186086,0
"68",1,0,1,0,0,1,0,0,0,0,0,0,2,52,"BE",5,3,3,16179731,3
"69",0,0,0,1,0,0,0,0,0,0,0,0,1,34,"BE",3,3,17,16177133,1
"70",0,1,0,1,0,0,1,0,0,0,0,0,2,33,"BE",5,3,3,16177039,3
"71",0,0,0,0,0,0,0,0,0,1,0,0,2,35,"BE",5,1,15,16192401,0
"72",0,0,0,0,0,0,0,0,0,1,0,0,1,62,"BE",7,1,4,16187920,0
"73",0,0,1,0,0,1,0,0,0,0,0,0,2,58,"BE",7,2,13,16179674,2
"74",0,0,0,1,0,0,0,0,0,0,0,0,1,24,"BE",5,2,8,16190296,1
"75",0,1,0,0,0,0,0,0,0,0,0,0,1,19,"BE",10,3,8,16177092,1
"76",1,1,1,0,0,0,0,0,0,0,0,0,2,83,"BE",NA,1,4,16184644,3
"77",0,0,0,0,0,0,0,0,0,1,0,0,2,61,"BE",5,1,13,16177958,0
"78",0,0,0,0,0,0,0,0,0,1,0,0,2,64,"BE",1,3,4,16177137,0
"79",0,0,0,0,0,0,0,0,0,1,0,0,2,48,"BE",5,2,12,16177024,0
"80",0,0,0,0,0,0,0,0,0,1,0,0,2,44,"BE",NA,1,13,16186123,0
"81",0,0,0,0,1,0,0,1,0,0,0,0,1,22,"BE",5,1,2,16184569,2
"82",0,1,0,0,0,0,0,0,0,0,0,0,1,20,"BE",6,1,17,16187429,1
"83",0,0,0,1,0,0,0,0,0,0,0,0,2,71,"BE",2,1,4,16177953,1
"84",0,0,0,0,0,0,0,0,0,1,0,0,2,23,"BE",4,1,2,16192644,0
"85",0,0,0,0,0,0,0,0,0,1,0,0,2,33,"BE",5,1,7,16180339,0
"86",0,0,0,1,0,0,0,0,0,0,0,0,2,44,"BE",5,1,4,16190336,1
"87",0,0,0,0,0,0,0,0,0,1,0,0,1,63,"BE",3,1,3,16178368,0
"88",1,1,0,0,1,1,0,0,0,0,0,0,2,92,"BE",5,2,4,16184646,4
"89",0,0,0,0,0,0,0,0,0,1,0,0,2,53,"BE",3,1,14,16186119,0
"90",0,1,0,0,0,0,1,0,0,0,0,0,2,19,"BE",NA,2,2,16179663,2
"91",0,0,0,0,0,0,0,0,0,1,0,0,1,72,"BE",4,1,4,16187726,0
"92",0,0,0,0,0,0,0,0,0,1,0,0,1,54,"BE",8,1,5,16188387,0
"93",1,1,0,0,1,0,0,1,0,0,0,0,2,83,"BE",1,1,4,16184577,4
"94",0,0,0,0,0,0,0,0,0,1,0,0,2,75,"BE",5,1,4,16187228,0
"95",0,0,0,1,0,0,1,0,0,0,0,0,1,78,"BE",5,1,4,16187434,2
"96",0,0,0,0,0,0,0,0,0,1,0,0,2,29,"BE",7,1,14,16180344,0
"97",0,0,1,0,0,1,1,0,0,0,0,0,2,61,"BE",6,2,1,16179640,3
"98",0,0,0,0,0,0,0,0,0,1,0,0,2,74,"BE",5,1,4,16188226,0
"99",0,0,0,0,0,0,0,0,0,1,0,0,2,81,"BE",7,1,4,16191670,0
"100",0,0,0,0,0,0,0,0,0,1,0,0,2,33,"BE",5,1,17,16191876,0
"101",0,0,0,1,0,0,1,0,0,0,0,0,1,45,"BE",NA,1,12,16184566,2
"102",1,1,0,1,0,1,0,0,0,0,0,0,2,70,"BE",10,2,4,16184665,4
"103",0,0,0,0,0,0,0,0,0,1,0,0,1,90,"BE",5,1,4,16180166,0
"104",0,1,0,0,1,1,0,0,0,0,0,0,1,75,"BE",5,1,4,16187433,3
"105",0,0,0,0,0,0,0,0,0,1,0,0,1,53,"BE",6,1,17,16187743,0
"106",0,0,1,0,0,0,0,0,0,0,0,0,2,16,"BE",5,1,2,16184664,1
"107",0,1,1,0,0,1,1,1,1,0,0,0,1,26,"BE",5,2,2,16193530,6
"108",0,1,0,0,1,0,0,0,0,0,0,0,1,43,"BE",4,2,17,16179643,2
"109",0,0,0,0,0,0,0,0,0,1,0,0,2,51,"BE",7,1,15,16190064,0
"110",0,0,0,0,0,0,0,0,0,1,0,0,1,38,"BE",5,1,13,16187739,0
"111",0,0,1,1,1,1,1,0,0,0,0,0,1,71,"BE",10,2,4,16194530,5
"112",0,0,0,0,0,0,0,1,0,0,0,0,1,31,"BE",6,1,3,16193849,1
"113",0,0,0,1,0,0,1,0,0,0,0,0,1,68,"BE",NA,2,4,16177445,2
"114",0,0,0,0,1,1,1,0,0,0,0,0,1,82,"BE",5,2,4,16179648,3
"115",0,1,0,1,0,0,0,0,0,0,0,0,2,77,"BE",6,1,4,16187736,2
"116",0,0,0,0,0,0,0,0,0,1,0,0,2,78,"BE",5,2,4,16194978,0
"117",1,0,0,0,0,0,0,0,0,0,0,0,2,50,"BE",6,1,17,16187425,1
"118",0,0,0,0,0,0,0,0,0,1,0,0,2,78,"BE",NA,1,4,16188384,0
"119",0,0,0,0,0,0,0,0,0,1,0,0,2,67,"BE",7,1,4,16180161,0
"120",0,0,0,0,0,0,0,0,0,1,0,0,2,40,"BE",7,2,13,16177126,0
"121",0,1,1,1,0,1,0,1,0,0,0,0,1,72,"BE",7,1,4,16194127,5
"122",0,0,0,0,0,0,0,0,0,1,0,0,1,76,"BE",6,2,4,16187716,0
"123",0,0,0,0,0,0,0,0,0,1,0,0,1,40,"BE",6,1,3,16187426,0
"124",1,1,1,1,1,1,1,1,1,0,0,0,1,68,"BE",4,1,4,16185707,9
"125",0,0,1,0,1,0,0,0,0,0,0,0,2,69,"BE",7,1,4,16190129,2
"126",0,0,1,1,0,1,1,0,1,0,0,0,1,55,"BE",3,3,15,16177136,5
"127",0,0,1,0,0,0,0,0,0,0,0,0,1,65,"BE",NA,1,4,16188233,1
"128",0,1,0,0,1,0,0,1,0,0,0,0,2,61,"BE",5,2,13,16179479,3
"129",0,0,0,0,0,0,0,0,0,1,0,0,2,37,"BE",6,1,17,16187722,0
"130",0,0,0,0,0,0,0,0,0,1,0,0,2,53,"BE",1,2,8,16178554,0
"131",0,0,0,0,0,0,0,0,0,1,0,0,2,28,"BE",6,1,17,16187398,0
"132",1,0,0,0,0,0,1,0,0,0,0,0,2,57,"BE",6,1,15,16185721,2
"133",0,0,0,0,0,0,0,0,0,1,0,0,1,34,"BE",5,2,17,16190571,0
"134",0,0,0,0,0,0,0,0,0,1,0,0,2,44,"BE",10,3,18,16184801,0
"135",0,0,0,0,0,0,0,0,0,1,0,0,2,47,"BE",7,2,13,16179484,0
"136",0,0,0,0,0,0,0,0,0,1,0,0,1,69,"BE",7,1,4,16188242,0
"137",0,0,0,0,0,0,0,0,0,1,0,0,2,61,"BE",1,2,4,16178538,0
"138",0,0,0,0,0,0,0,0,0,1,0,0,1,31,"BE",5,1,12,16187708,0
"139",0,0,0,0,0,0,0,0,0,1,0,0,1,40,"BE",1,2,13,16194973,0
"140",0,0,0,0,0,0,0,0,0,1,0,0,1,50,"BE",6,2,17,16179487,0
"141",0,0,0,1,0,0,0,1,0,0,0,0,2,73,"BE",5,2,4,16177127,2
