"","uniqid","at_sexviol","gender","age","politics","urban","occupation","region"
"1",16184372,NA,1,82,8,1,4,"Western"
"2",16184349,NA,1,69,6,1,4,"Western"
"3",16184371,2,2,42,5,1,13,"Western"
"4",16178926,0,2,68,NA,1,4,"Western"
"5",16178922,5,1,44,8,2,18,"Western"
"6",16178924,0,2,61,4,3,1,"Western"
"7",16178928,0,1,18,3,2,2,"Western"
"8",16178932,0,2,65,1,3,4,"Western"
"9",16178929,2,2,55,5,3,8,"Western"
"10",16178933,1,1,24,4,3,2,"Western"
"11",16178937,5,2,70,10,3,4,"Western"
"12",16178939,0,1,21,6,2,2,"Western"
"13",16178938,0,1,72,4,3,4,"Western"
"14",16178919,0,1,20,1,3,2,"Western"
"15",16191020,0,1,44,5,2,12,"Western"
"16",16193638,0,1,27,8,1,13,"Western"
"17",16178227,0,1,29,7,1,17,"Western"
"18",16190615,2,1,56,5,1,4,"Western"
"19",16178230,0,1,68,4,1,4,"Western"
"20",16190764,0,2,66,3,1,4,"Western"
"21",16190390,3,1,52,5,3,11,"Western"
"22",16178231,0,2,62,4,1,13,"Western"
"23",16178233,0,1,71,7,1,4,"Western"
"24",16180880,0,2,71,3,2,4,"Western"
"25",16180897,0,1,64,NA,1,4,"Western"
"26",16179665,2,1,67,5,2,4,"Western"
"27",16177088,0,2,60,4,3,4,"Western"
"28",16192064,1,2,69,1,1,4,"Western"
"29",16177130,0,1,24,6,3,12,"Western"
"30",16187932,0,2,59,6,2,13,"Western"
"31",16193283,0,1,41,4,1,14,"Western"
"32",16193786,NA,1,64,5,1,4,"Western"
"33",16180894,0,1,59,4,2,4,"Western"
"34",16193272,0,1,86,7,1,4,"Western"
"35",16177992,1,2,73,2,1,4,"Western"
"36",16185714,0,1,57,8,1,5,"Western"
"37",16179668,2,2,75,7,2,4,"Western"
"38",16177084,0,2,36,5,3,14,"Western"
"39",16192192,9,2,81,NA,2,4,"Western"
"40",16177125,2,1,75,5,1,4,"Western"
"41",16191671,3,1,55,8,1,12,"Western"
"42",16177026,0,2,55,3,2,3,"Western"
"43",16187928,1,1,63,7,1,4,"Western"
"44",16180885,0,1,90,6,2,4,"Western"
"45",16184770,2,2,76,NA,2,4,"Western"
"46",16177985,0,2,49,2,1,4,"Western"
"47",16179676,2,2,75,4,2,4,"Western"
"48",16192864,0,1,64,5,1,4,"Western"
"49",16180887,0,2,74,5,2,4,"Western"
"50",16192764,0,1,60,1,1,8,"Western"
"51",16177131,0,2,34,5,1,13,"Western"
"52",16178003,0,2,56,4,1,15,"Western"
"53",16177085,2,2,73,4,3,4,"Western"
"54",16177035,0,2,29,7,3,15,"Western"
"55",16178690,0,2,67,NA,2,4,"Western"
"56",16177122,0,1,19,7,2,2,"Western"
"57",16178002,0,2,38,5,1,3,"Western"
"58",16186088,0,2,52,5,1,11,"Western"
"59",16177023,0,1,36,7,3,11,"Western"
"60",16187916,0,2,36,5,1,15,"Western"
"61",16185711,0,1,77,5,1,4,"Western"
"62",16191136,9,2,64,1,1,4,"Western"
"63",16177947,0,1,34,5,1,17,"Western"
"64",16177089,0,1,28,1,3,3,"Western"
"65",16191860,0,2,23,1,1,2,"Western"
"66",16184568,NA,1,61,NA,1,8,"Western"
"67",16186086,0,2,55,5,1,3,"Western"
"68",16179731,3,2,52,5,3,3,"Western"
"69",16177133,1,1,34,3,3,17,"Western"
"70",16177039,3,2,33,5,3,3,"Western"
"71",16192401,0,2,35,5,1,15,"Western"
"72",16187920,0,1,62,7,1,4,"Western"
"73",16179674,2,2,58,7,2,13,"Western"
"74",16190296,1,1,24,5,2,8,"Western"
"75",16177092,1,1,19,10,3,8,"Western"
"76",16184644,3,2,83,NA,1,4,"Western"
"77",16177958,0,2,61,5,1,13,"Western"
"78",16177137,0,2,64,1,3,4,"Western"
"79",16177024,0,2,48,5,2,12,"Western"
"80",16186123,0,2,44,NA,1,13,"Western"
"81",16184569,2,1,22,5,1,2,"Western"
"82",16187429,1,1,20,6,1,17,"Western"
"83",16177953,1,2,71,2,1,4,"Western"
"84",16192644,0,2,23,4,1,2,"Western"
"85",16180339,0,2,33,5,1,7,"Western"
"86",16190336,1,2,44,5,1,4,"Western"
"87",16178368,0,1,63,3,1,3,"Western"
"88",16184646,4,2,92,5,2,4,"Western"
